Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),US ($mill)
Wednesday,Mel Gibson,drama,The Passion of the Christ,25/02/2004,New Market Films,770.3,25,611.9,7.1,3.19,127,370.8
Friday,Kevin Costner,adventure,Dances with Wolves,09/11/1990,Orion,771.8,19,424.2,8,3.74,181,184.2
Friday,"Eric Darnell, Conrad Vernon, Tom McGrath",animation,Madagascar 3: Europe's Most Wanted,08/06/2012,Pacific Data/DreamWorks,773.6,145,746.9,7,3.32,93,216.4
Friday,Tony Scott,action,Top Gun,16/05/1986,Paramount Pictures,774.2,15,356.8,6.8,3.41,110,179.8
Friday,James Gunn,action,Guardians of the Galaxy,01/08/2014,Buena Vista Studios,777.7,170,774.2,8.1,3.85,121,333.2
Friday,Carlos Saldanha,animation,Ice Age: The Meltdown,31/03/2006,Fox,779.6,75,660.9,6.9,3.35,91,195.3
Tuesday,Marc Webb,action,The Amazing Spider-Man,03/07/2012,Sony,785,230,757.9,7.1,3.22,136,262
Friday,Chris Weitz,drama,The Twilight Saga: New Moon,20/11/2009,Summit Entertainment,786.8,50,709.8,4.6,2.58,130,296.6
Friday,Tim Burton,action,Batman,23/06/1989,WB,788.8,48,411.3,7.6,3.38,126,251.2
Friday,Brad Bird,animation,The Incredibles,05/11/2004,Buena Vista Studios,794.9,92,631.4,8,3.91,115,261.4
Friday,Justin Lin,action,Fast & Furious 6,24/05/2013,Universal,805.1,160,788.7,7.2,3.33,130,238.7
Wednesday,Michael Bay,action,Armageddon,01/07/1998,Buena Vista Studios,807.8,140,553.7,6.6,2.4,150,201.6
Friday,Pete Docter,animation,Up,29/05/2009,Buena Vista Studios,810.6,175,731.3,8.3,4.04,96,293
Tuesday,Michael Bay,action,Transformers,03/07/2007,Pacific Data/DreamWorks,814.1,151,709.7,7.1,3.33,144,319.2
Friday,Mike Mitchell,animation,Shrek Forever After,21/05/2010,Pacific Data/DreamWorks,820.8,165,752.6,6.4,3.27,93,238.7
Wednesday,Robert Zemeckis,adventure,Back to the Future,03/07/1985,Universal,842.3,19,381.1,8.5,3.91,116,210.6
Friday,Garry Marshall,comedy,Pretty Woman,23/03/1990,Buena Vista Studios,843.1,14,463.4,6.9,3.43,119,178.4
Wednesday,Gore Verbinski,action,Pirates of the Caribbean: The Curse of the Black Pearl,09/07/2003,Buena Vista Studios,845.6,125,654.3,8.1,3.86,143,305.4
Friday,Roland Emmerich,action,2012,13/11/2009,Sony,853.2,200,769.7,5.8,2.8,158,166.1
Wednesday,"Ron Clements, John Musker",animation,Aladdin,11/11/1992,Buena Vista Studios,854.4,28,504.1,8,3.68,90,217.4
Thursday,George Lucas,sci-fi,Star Wars: Episode II - Attack of the Clones,16/05/2002,Fox,858.4,115,649.4,6.7,3.12,142,310.7
Friday,Bill Condon,drama,The Twilight Saga: Breaking Dawn Part 2,16/11/2012,Lionsgate/Summit,859.4,136.2,829.7,8.2,2.67,115,292.3
Friday,Chris Columbus,adventure,Home Alone,16/11/1990,Fox,867.3,15,476.7,7.4,3.09,103,285.8
Thursday,Steven Spielberg,action,Indiana Jones and the Kingdom of the Crystal Skull,22/05/2008,Paramount Pictures,868.8,185,786.6,6.2,2.95,122,317.1
Wednesday,Barry Sonnenfeld,action,Men in Black,02/07/1997,Sony,873.3,90,589.4,7.2,3.56,98,250.7
Friday,Francis Lawrence,action,The Hunger Games: Catching Fire,22/11/2013,Lionsgate,882.9,130,864.9,7.7,3.73,146,424.7
Friday,Ron Howard,thriller,The Da Vinci Code,19/05/2006,Sony,894.4,125,758.2,6.5,3.13,149,217.5
Friday,Christopher Nolan,action,Inception,16/07/2010,WB,900.3,160,825.5,8.8,4.16,148,292.6
Friday,Andrew Adamson,adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",09/12/2005,Buena Vista Studios,907.1,180,745,6.9,3.48,143,291.7
Tuesday,James Cameron,action,Terminator 2: Judgment Day,02/07/1991,TriStar,907.6,100,519.8,8.5,3.93,137,204.8
Friday,"Steve Martino, Michael Thurmeier",animation,Ice Age: Continental Drift,13/07/2012,Fox,908.6,95,877.2,6.7,3.21,88,161.3
Wednesday,Steven Spielberg,action,Indiana Jones and the Last Crusade,24/05/1989,Paramount Pictures,909.4,48,474.2,8.3,4.01,127,197.2
Thursday,Steven Spielberg,action,The Lost World: Jurassic Park,22/05/1997,Universal,916.5,75,618.6,6.5,2.96,129,229.1
Friday,"Chris Miller, Raman Hui",animation,Shrek the Third,18/05/2007,Pacific Data/DreamWorks,916.6,160,799,6,3.09,93,322.7
Friday,Jerry Zucker,drama,Ghost,13/07/1990,Paramount Pictures,920.1,22,505.7,7,3.45,127,217.6
Wednesday,Michael Bay,action,Transformers: Revenge of the Fallen,24/06/2009,Pacific Data/DreamWorks,927,210,836.3,6,2.95,150,402.1
Friday,John Badham,drama,Saturday Night Fever,16/12/1977,Paramount Pictures,930.4,3.5,237.1,6.8,3.28,118,94.2
Thursday,"Lana Wachowski, Andy Wachowski",sci-fi,The Matrix Reloaded,15/05/2003,WB,959.1,127,742.1,7.2,3.3,138,281.6
Wednesday,Peter Jackson,adventure,The Hobbit: The Battle of the Five Armies,17/12/2014,WB,959.4,250,955.1,7.5,3.43,144,255.1
Friday,M. Night Shyamalan,drama,The Sixth Sense,06/08/1999,Buena Vista Studios,960.4,40,672.8,8.2,4.06,107,293.5
Friday,Peter Jackson,adventure,The Hobbit: The Desolation of Smaug,13/12/2013,WB,980.4,250,960.4,8,3.74,161,258.4
Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age: Dawn of the Dinosaurs,01/07/2009,Fox,982.9,90,886.7,7,3.4,94,196.6
Wednesday,Sam Raimi,action,Spider-Man 2,30/06/2004,Sony,986.7,200,783.8,7.3,3.55,127,373.6
Tuesday,"Chris Renaud, Pierre Coffin",animation,Despicable Me 2,02/07/2013,Universal,991,76,970.8,7.5,3.74,98,368.1
Friday,Alfonso Cuar„n,adventure,Harry Potter and the Prisoner of Azkaban,04/06/2004,WB,"1,003",130,796.7,7.8,3.75,141,249.5
Friday,Steven Spielberg,action,Raiders of the Lost Ark,12/06/1981,Paramount Pictures,"1,020",20,389.9,8.6,4.21,115,248.2
Friday,Sam Raimi,action,Spider-Man 3,04/05/2007,Sony,"1,022",258,890.9,6.2,3.02,139,336.5
Thursday,George Lucas,action,Star Wars: Episode III - Revenge of the Sith,19/05/2005,Fox,"1,033.50",115,848.8,7.7,3.47,140,380.3
Wednesday,David Yates,adventure,Harry Potter and the Half-Blood Prince,15/07/2009,WB,"1,035.70",250,934.4,7.5,3.82,153,302
Friday,David Yates,adventure,Harry Potter and the Deathly Hallows Part 1,19/11/2010,WB,"1,047.30",125,960.3,8.1,3.89,146,296
Friday,Peter Jackson,adventure,The Hobbit: An Unexpected Journey,14/12/2012,WB,"1,053.40",250,"1,017",8,3.79,169,303
Wednesday,David Yates,adventure,Harry Potter and the Order of the Phoenix,11/07/2007,WB,"1,078.20",150,939.9,7.4,3.74,138,292
Friday,Sam Raimi,action,Spider-Man,03/05/2002,Sony,"1,086.20",139,821.7,7.3,3.57,121,403.7
Wednesday,Robert Zemeckis,drama,Forrest Gump,06/07/1994,Paramount Pictures,"1,087.80",55,677.9,8.8,4.04,142,330.3
Friday,Mike Newell,adventure,Harry Potter and the Goblet of Fire,18/11/2005,WB,"1,092.10",150,896.9,7.6,3.72,157,290
Friday,Gore Verbinski,action,Pirates of the Caribbean: At World's End,25/05/2007,Buena Vista Studios,"1,105.20",300,963.4,7.1,3.4,169,309.4
